id,Aktualność danych na dzień,Jednostka zarządzająca,Nazwa polska,Nazwa łacińska,Numer inwentaryzacyjny,Obwód pnia w cm,Wysokość w m,gtype,height,id,imgurl,width,x,y
AAKG9OAAnAAH5DJAAK,10.10.2017,Dzielnica Śródmieście,klon jawor,Acer pseudoplatanus,D568510,97,22.5,2001,2,AAKG9OAAnAAH5DJAAK,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404186_S11_2_2.png?refresh=-1722490917871479837,2,7500960.7386,5788659.0792
AAKG9OAAnAAH5DJAAJ,10.10.2017,Dzielnica Śródmieście,klon jawor,Acer pseudoplatanus,D568509,101,21.6,2001,2,AAKG9OAAnAAH5DJAAJ,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404186_S15_2_2.png?refresh=5945679323095615750,2,7500962.5084,5788653.4566
AAKG9OAAnAAH5DZAAU,10.10.2017,Dzielnica Śródmieście,klon jawor,Acer pseudoplatanus,D568513,174,22.25,2001,2,AAKG9OAAnAAH5DZAAU,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404186_S11_2_2.png,2,7500966.3582,5788680.6849
AAKG9OAAnAAH5DZAAV,10.10.2017,Dzielnica Śródmieście,klon jawor,Acer pseudoplatanus,D568514,143,21.5,2001,2,AAKG9OAAnAAH5DZAAV,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404186_S15_2_2.png,2,7500969.367,5788681.9403
AAKG9OAAnAAH5DZAAW,10.10.2017,Dzielnica Śródmieście,klon jawor,Acer pseudoplatanus,D568515,128,24.5,2001,3,AAKG9OAAnAAH5DZAAW,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404186_S1G_3_3.png?refresh=-455170701240369819,3,7500971.4334,5788667.9392
AAKG9OAAnAAH5DZAAX,10.10.2017,Dzielnica Śródmieście,klon jawor,Acer pseudoplatanus,D568516,127,24.9,2001,2,AAKG9OAAnAAH5DZAAX,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404186_S15_2_2.png,2,7500974.1098,5788668.7869
AAKG9OAAnAAH1qiAAe,10.10.2017,Dzielnica Śródmieście,kasztanowiec pospolity,Aesculus hippocastanum,D568844,156,17.27,2001,3,AAKG9OAAnAAH1qiAAe,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404186_S1A_3_3.png?refresh=-4517598630065221964,3,7500974.4506,5788697.8526
AAKG9OAAnAAH1qmAAK,10.10.2017,Dzielnica Śródmieście,sosna żółta,Pinus ponderosa,D568862,1,1.2,2001,1,AAKG9OAAnAAH1qmAAK,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404186_S1E_1_1.png?refresh=-8380033737991164507,1,7500977.1211,5788689.6923
AAKG9OAAnAAH1qiAAi,10.10.2017,Dzielnica Śródmieście,śliwa ałycza,Prunus cerasifera,D568848,"80, 80",11.25,2001,2,AAKG9OAAnAAH1qiAAi,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404186_S15_2_2.png,2,7500978.9873,5788702.88
AAKG9OAAnAAH1qiAAh,10.10.2017,Dzielnica Śródmieście,orzech włoski,Juglans regia,D568847,20,5,2001,1,AAKG9OAAnAAH1qiAAh,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404186_S14_1_1.png?refresh=-1891217757329676487,1,7500983.1057,5788700.1003
AAKG9OAAnAAH1qmAAC,10.10.2017,Dzielnica Śródmieście,świerk pospolity,Picea abies,D568854,1,1.1,2001,1,AAKG9OAAnAAH1qmAAC,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404186_S1E_1_1.png,1,7500983.4533,5788701.6962
AAKG9OAAnAAH1qmAAB,10.10.2017,Dzielnica Śródmieście,świerk pospolity,Picea abies,D568853,11,3.8,2001,1,AAKG9OAAnAAH1qmAAB,http://mapa.um.warszawa.pl/mvimages/san13/fig/752_fig_7404186_S1F_1_1.png?refresh=-6042524779552337631,1,7500984.6922,5788702.2927
